Cruz cardinal pequeña,970,705,964,871,679,810,1067,731,788,862,788,722
Cruz cardinal Grande,320,280,326,273,195,234,210,181,278,238,190,281
Luminaria Nartex,92,60,73,65,57,72,61,82,76,75,77,65
Orbe Celeste,89,71,95,85,63,73,67,84,63,69,79,69
Píedra Angular,90,67,78,72,48,81,33,91,51,79,41,91
Luminaria Redención,76,71,83,68,53,63,55,74,71,58,75,57
Piedra Viva,115,94,130,91,85,104,60,80,63,62,71,53
Encarnacion,102,57,98,65,76,83,75,77,62,80,64,71
Orbe terrestre,35,36,41,22,31,40,59,55,72,69,75,65
Geometría Sacra,170,130,156,117,109,165,64,74,66,69,73,80
